secucode,code,name,industry,market,listing_date
002061.SZ,002061,浙江交科,建筑工程,主板,2006-08-16
002062.SZ,002062,宏润建设,建筑工程,主板,2006-08-16
002063.SZ,002063,远光软件,软件服务,主板,2006-08-23
002064.SZ,002064,华峰化学,化纤,主板,2006-08-23
002065.SZ,002065,东华软件,软件服务,主板,2006-08-23
002066.SZ,002066,瑞泰科技,其他建材,主板,2006-08-23
601111.SH,601111,中国国航,空运,主板,2006-08-18
002067.SZ,002067,景兴纸业,造纸,主板,2006-09-15
002068.SZ,002068,黑猫股份,化工原料,主板,2006-09-15
300016.SZ,300016,北陆药业,化学制药,创业板,2009-10-30
300271.SZ,300271,华宇软件,软件服务,创业板,2011-10-26
601699.SH,601699,潞安环能,煤炭开采,主板,2006-09-22
002069.SZ,002069,獐子岛,渔业,主板,2006-09-28
002279.SZ,002279,久其软件,软件服务,主板,2009-08-11
002072.SZ,002072,凯瑞德,商贸代理,主板,2006-10-18
601588.SH,601588,北辰实业,区域地产,主板,2006-10-16
002073.SZ,002073,软控股份,专用机械,主板,2006-10-18
600017.SH,600017,日照港,港口,主板,2006-10-17
002074.SZ,002074,国轩高科,电气设备,主板,2006-10-18
002075.SZ,002075,沙钢股份,特种钢,主板,2006-10-25
002076.SZ,002076,*ST星光,家用电器,主板,2006-10-25
601398.SH,601398,XD工商银,银行,主板,2006-10-27
002079.SZ,002079,苏州固锝,电气设备,主板,2006-11-16
002078.SZ,002078,太阳纸业,造纸,主板,2006-11-16
002077.SZ,002077,大港股份,半导体,主板,2006-11-16
600018.SH,600018,上港集团,港口,主板,2006-10-26
002080.SZ,002080,中材科技,玻璃,主板,2006-11-20
002081.SZ,002081,金螳螂,装修装饰,主板,2006-11-20
002082.SZ,002082,ST万邦,中成药,主板,2006-11-20
601666.SH,601666,平煤股份,煤炭开采,主板,2006-11-23
002083.SZ,002083,孚日股份,纺织,主板,2006-11-24
002084.SZ,002084,海鸥住工,家居用品,主板,2006-11-24
002085.SZ,002085,万丰奥威,汽车配件,主板,2006-11-28
002086.SZ,002086,东方海洋,渔业,主板,2006-11-28
002088.SZ,002088,鲁阳节能,矿物制品,主板,2006-11-30
601872.SH,601872,招商轮船,水运,主板,2006-12-01
002090.SZ,002090,金智科技,电气设备,主板,2006-12-08
002091.SZ,002091,江苏国泰,商贸代理,主板,2006-12-08
002092.SZ,002092,中泰化学,化工原料,主板,2006-12-08
601991.SH,601991,大唐发电,火力发电,主板,2006-12-20
002095.SZ,002095,生意宝,互联网,主板,2006-12-15
002094.SZ,002094,青岛金王,日用化工,主板,2006-12-15
002093.SZ,002093,国脉科技,文教休闲,主板,2006-12-15
002102.SZ,002102,ST能特,化学制药,主板,2006-12-29
002101.SZ,002101,广东鸿图,汽车配件,主板,2006-12-29
002099.SZ,002099,海翔药业,化学制药,主板,2006-12-26
002100.SZ,002100,天康生物,饲料,主板,2006-12-26
002097.SZ,002097,山河智能,工程机械,主板,2006-12-22
002096.SZ,002096,易普力,化工原料,主板,2006-12-22
002098.SZ,002098,浔兴股份,服饰,主板,2006-12-22
002103.SZ,002103,广博股份,文教休闲,主板,2007-01-10
002105.SZ,002105,信隆健康,摩托车,主板,2007-01-12
